id,genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
1,84,180,90,2,9,1,2,86
2,84,204,79,3,2,7,3,100
3,84,174,74,3,20,3,2,87
4,84,187,78,2,6,5,3,91
5,84,187,89,2,12,0,2,83
6,84,175,74,2,2,3,3,89
7,84,196,68,2,14,8,1,80
8,84,182,83,1,1,8,3,77
9,84,176,91,1,17,1,2,73
10,84,180,74,1,5,9,2,73
11,84,191,73,1,18,7,4,67
12,84,204,74,2,15,10,2,81
13,84,168,75,2,12,3,3,78
14,84,198,63,3,21,5,2,90
15,84,199,78,1,14,7,3,66
16,84,194,78,1,0,1,2,84
17,84,182,89,3,6,8,1,92
18,84,159,74,2,9,7,3,73
19,84,176,101,1,12,10,2,67
20,84,171,82,1,21,9,4,55
21,84,188,79,2,18,7,3,76
22,84,185,87,2,13,3,1,85
23,84,161,66,1,7,9,3,73
24,84,169,72,1,11,8,2,72
25,84,184,80,1,21,9,2,60
26,84,195,61,0,5,8,2,75
27,84,187,75,2,1,9,2,95
28,84,208,95,1,17,1,2,76
29,84,184,85,3,21,6,1,85
30,84,178,77,3,17,9,3,81
31,84,183,101,2,21,9,2,70
32,84,186,74,2,2,4,2,97
33,84,173,83,1,8,8,2,71
34,84,180,87,1,22,6,2,64
35,84,198,74,2,15,5,3,78
36,84,183,68,2,18,0,2,90
37,84,196,69,1,13,7,2,76
38,84,181,96,1,12,8,2,70
39,84,194,65,3,19,9,3,85
40,84,184,74,1,14,9,3,63
41,84,167,89,2,18,7,3,72
42,84,183,81,1,17,7,2,74
43,84,170,89,3,2,4,2,101
44,84,186,99,2,9,7,1,88
45,84,190,85,1,19,7,1,69
46,84,178,79,2,20,9,3,70
47,84,190,64,2,17,4,1,84
48,84,179,80,2,4,3,2,90
49,84,197,67,1,5,7,5,78
50,84,186,111,2,0,1,2,92
51,84,169,101,2,8,8,2,73
52,84,179,90,1,7,7,3,66
53,84,170,106,2,1,5,1,88
54,84,181,62,1,4,8,4,74
55,84,213,73,1,6,4,4,83
56,84,185,88,2,8,1,1,92
57,84,164,81,2,2,4,2,92
58,84,164,72,2,20,7,2,71
59,84,201,69,3,5,3,2,107
60,84,164,90,3,0,8,3,92
61,84,190,110,2,0,7,1,95
62,84,203,99,1,4,9,1,80
63,83,164,90,1,0,8,2,79
64,83,174,83,3,3,6,2,98
65,83,188,98,1,0,4,3,81
66,83,179,74,2,1,9,3,86
67,83,200,62,1,18,5,2,75
68,83,183,75,1,20,6,2,70
69,83,177,81,2,7,3,2,91
70,83,170,68,1,0,6,3,81
71,83,206,67,1,2,7,1,88
72,83,200,92,2,5,9,1,88
73,83,167,105,2,0,4,1,84
74,83,175,77,2,21,6,2,79
75,83,189,85,1,6,6,3,71
76,83,173,72,1,10,6,3,70
77,83,179,98,1,15,4,2,70
78,83,178,71,2,0,8,2,92
79,83,177,94,2,17,2,1,78
80,83,176,69,3,7,8,3,89
81,83,210,73,2,3,8,1,97
82,83,196,62,2,2,5,3,88
83,83,186,75,3,0,1,2,107
84,83,174,74,1,6,4,4,70
85,83,188,78,2,1,4,3,94
86,83,183,89,2,0,9,3,84
87,83,173,81,2,8,9,2,76
88,83,183,83,1,20,8,3,66
89,83,177,64,1,13,6,2,71
90,83,184,69,1,6,7,3,80
91,83,178,74,1,12,2,3,68
92,83,181,69,0,0,9,3,71
93,83,205,65,3,20,9,3,82
94,83,164,71,2,4,8,3,77
95,83,184,90,4,4,3,2,105
96,83,188,64,1,1,2,1,93
97,83,212,81,1,0,5,1,88
98,83,192,91,2,1,6,2,86
99,83,179,61,2,0,9,3,89
100,83,206,66,1,0,0,3,89
101,83,183,61,4,0,5,1,113
102,83,186,68,2,12,7,1,88
103,83,205,62,2,3,3,2,97
104,83,172,75,2,9,0,3,84
105,83,173,73,2,17,9,4,70
106,83,166,107,1,12,10,2,59
107,83,174,82,1,7,6,5,63
108,83,201,61,0,6,8,3,72
109,83,175,98,2,21,7,2,70
110,83,202,61,2,2,3,2,96
111,83,167,78,1,18,8,2,65
112,83,201,96,1,2,7,3,78
113,83,178,68,2,0,5,2,96
114,83,202,71,1,8,4,3,76
115,83,159,75,1,0,8,4,67
116,83,181,80,1,16,7,4,66
117,83,186,95,2,6,9,2,84
118,83,169,93,1,21,8,2,57
119,83,192,69,2,0,5,2,98
120,83,171,80,2,7,9,2,84
121,83,164,86,1,15,9,3,56
122,83,198,79,3,14,7,2,93
123,83,170,68,2,20,1,3,76
124,83,176,78,2,9,9,1,83
125,83,187,67,1,20,3,3,68
126,83,182,105,3,4,8,3,89
127,83,181,67,2,13,1,3,86
128,83,181,110,1,16,5,2,68
129,83,187,71,2,11,3,2,87
130,83,190,85,3,22,9,2,78
131,83,193,104,1,19,6,3,64
132,83,187,67,2,0,6,3,91
133,83,188,63,2,22,0,2,80
134,83,195,64,3,0,1,3,107
135,83,182,62,2,18,6,2,80
136,83,167,78,3,13,7,2,91
137,83,194,94,2,0,6,2,89
138,83,175,75,1,19,6,4,61
139,83,183,68,2,18,1,3,78
140,83,202,92,1,14,2,2,79
141,83,183,71,2,3,9,2,85
142,83,201,74,2,17,4,4,75
143,83,168,99,2,14,9,1,74
144,83,188,62,2,20,4,1,83
145,83,204,79,1,4,8,2,82
146,83,196,74,1,0,3,3,85
147,83,183,71,2,13,8,4,75
148,83,186,97,2,15,7,1,82
149,83,180,66,1,8,8,3,68
150,83,195,86,1,22,8,2,62
151,83,167,65,1,5,3,1,80
152,83,186,71,3,7,8,3,90
153,83,172,64,1,12,9,1,71
154,83,165,88,2,8,9,3,75
155,83,186,75,1,18,1,2,72
156,83,184,79,3,15,7,3,87
157,83,163,108,1,10,7,2,63
158,83,193,94,1,11,5,1,78
159,83,176,90,2,13,7,1,81
160,83,180,78,3,5,9,3,90
161,83,192,62,2,3,3,2,92
162,83,201,75,3,15,1,2,94
163,83,185,60,2,1,3,2,95
164,83,175,62,2,1,9,2,88
165,83,195,81,1,18,5,2,70
166,83,196,83,2,0,7,4,82
167,83,198,77,1,0,7,4,75
168,83,206,89,1,4,1,3,86
169,83,178,69,1,14,6,2,75
170,83,198,76,1,10,9,2,70
171,83,196,90,1,0,2,4,84
172,83,207,70,1,1,8,3,80
173,83,177,78,1,22,0,3,68
174,83,181,70,0,1,7,2,74
175,83,169,85,1,17,4,3,65
176,83,196,100,2,19,8,1,74
177,83,173,73,3,5,3,2,104
178,83,161,60,1,18,6,2,63
179,83,179,112,1,18,5,3,61
180,83,165,96,1,7,8,2,70
181,83,197,66,1,3,9,3,78
182,83,181,73,2,15,5,3,76
183,83,198,76,1,1,9,3,73
184,83,172,82,3,21,8,1,84
185,83,204,63,3,4,8,3,94
186,83,205,74,1,4,7,1,85
187,83,184,72,1,13,9,3,68
188,83,187,64,1,22,7,3,64
189,83,202,76,2,11,3,1,89
190,83,193,86,2,0,3,4,87
191,83,164,89,2,0,5,1,91
192,83,177,87,3,1,4,3,93
193,83,193,85,1,13,6,2,75
194,83,195,88,3,5,5,2,100
195,83,197,82,1,19,8,3,66
196,83,199,81,1,14,7,4,69
197,83,175,72,2,0,0,1,99
198,83,199,91,1,1,3,3,78
199,83,172,74,2,0,9,2,90
200,83,190,61,2,0,6,2,97
201,83,183,73,1,12,5,3,69
202,83,193,67,2,6,8,1,86
203,83,198,75,2,4,4,2,94
204,83,189,93,2,1,3,2,89
205,83,182,93,1,12,6,2,70
206,83,179,67,2,13,10,3,74
207,83,164,85,1,12,4,1,72
208,83,178,92,1,5,9,4,66
209,83,186,67,3,0,9,3,102
210,83,205,61,1,13,6,2,78
211,83,173,63,1,12,9,3,69
212,83,180,72,2,4,5,1,90
213,83,182,68,3,0,6,2,104
214,83,179,62,1,4,9,2,78
215,83,201,112,1,20,3,4,61
216,83,192,67,2,20,7,1,83
217,83,191,92,2,17,5,1,81
218,83,187,100,1,20,8,3,59
219,83,207,70,2,4,7,1,96
220,83,183,90,3,16,6,1,84
221,83,170,73,1,2,2,2,83
222,83,176,100,0,12,6,2,61
223,83,176,89,1,17,2,4,61
224,83,191,82,1,3,7,2,77
225,83,194,77,3,18,1,4,88
226,83,188,66,1,5,7,3,74
227,83,157,83,2,2,8,4,77
228,83,176,83,1,21,5,2,65
229,83,178,69,2,8,5,3,85
230,83,178,85,1,21,6,3,59
231,83,196,100,1,11,6,5,66
232,83,194,69,2,9,0,4,85
233,83,177,97,2,18,5,2,78
234,83,201,66,2,4,8,3,88
235,83,192,83,2,4,6,4,85
236,83,184,69,3,0,7,2,99
237,83,189,63,0,13,9,2,66
238,83,166,80,1,4,0,4,74
239,83,165,80,2,20,8,1,71
240,83,194,71,1,9,9,2,78
241,83,194,99,1,9,5,4,71
242,83,194,82,1,6,2,2,80
243,83,197,79,3,7,7,2,94
244,83,214,89,1,11,4,2,80
245,83,166,71,2,1,7,3,82
246,83,199,63,1,10,7,2,77
247,83,167,95,1,1,1,2,80
248,83,192,68,3,7,8,3,92
249,83,184,94,2,16,9,3,74
250,82,195,87,1,1,1,2,84
251,82,178,69,2,11,9,2,78
252,82,176,69,1,0,6,2,81
253,82,209,90,1,17,6,3,68
254,82,169,94,1,20,3,1,66
255,82,182,108,1,18,3,3,62
256,82,175,76,1,22,7,1,60
257,82,165,65,1,21,5,3,66
258,82,188,77,1,21,4,1,67
259,82,194,64,3,22,3,1,90
260,82,184,72,4,6,7,1,106
261,82,172,60,1,9,7,4,71
262,82,196,81,1,21,2,2,70
263,82,194,78,1,7,9,2,75
264,82,160,102,2,8,5,2,80
265,82,196,72,1,5,8,3,76
266,82,174,90,3,2,0,3,102
267,82,194,75,0,10,6,2,68
268,82,184,92,1,21,9,2,57
269,82,174,74,2,5,5,3,80
270,82,177,101,1,2,6,3,77
271,82,172,88,1,13,8,2,63
272,82,163,75,2,22,8,3,64
273,82,179,84,1,6,0,2,78
274,82,185,70,2,19,1,1,81
275,82,167,74,1,12,7,1,71
276,82,176,76,0,1,9,2,71
277,82,184,67,3,20,4,4,79
278,82,186,84,2,7,5,3,77
279,82,185,88,2,6,7,2,83
280,82,169,77,1,5,5,2,73
281,82,183,97,2,18,4,2,75
282,82,188,88,2,11,9,2,80
283,82,177,84,3,3,7,3,87
284,82,177,62,3,12,9,3,89
285,82,178,70,2,19,1,1,86
286,82,171,88,3,11,9,1,85
287,82,200,110,2,8,9,1,80
288,82,170,89,2,12,1,3,80
289,82,182,73,2,10,8,1,83
290,82,177,69,1,9,6,2,78
291,82,208,76,2,5,8,2,91
292,82,189,86,1,13,7,3,67
293,82,175,71,2,5,0,1,94
294,82,185,92,1,1,9,1,74
295,82,163,73,1,13,3,2,64
296,82,178,64,1,6,9,2,82
297,82,168,93,1,22,2,1,69
298,82,189,96,3,18,4,1,86
299,82,197,88,3,16,8,3,80
300,82,172,94,3,13,4,1,94
301,82,180,74,3,13,4,3,90
302,82,188,65,1,0,2,5,77
303,82,199,71,1,15,8,2,75
304,82,177,105,1,17,8,2,60
305,82,172,71,2,15,9,3,74
306,82,200,74,2,4,8,2,87
307,82,205,69,1,1,8,4,75
308,82,190,66,2,19,4,3,81
309,82,174,79,2,3,6,4,76
310,82,178,66,2,2,9,2,83
311,82,165,97,1,11,8,4,57
312,82,174,98,2,2,4,3,78
313,82,168,66,1,0,8,2,81
314,82,183,63,1,4,1,2,86
315,82,194,90,1,13,7,2,73
316,82,183,85,1,0,5,2,84
317,82,195,101,0,20,6,2,56
318,82,187,81,1,1,8,1,79
319,82,204,95,3,6,8,2,92
320,82,168,93,1,0,7,2,70
321,82,183,76,1,2,6,2,81
322,82,167,75,1,11,10,2,62
323,82,187,79,0,0,8,2,74
324,82,199,84,2,18,1,2,80
325,82,194,82,1,17,5,3,69
326,82,192,69,1,0,3,3,87
327,82,156,94,0,19,5,3,50
328,82,209,86,2,17,5,3,74
329,82,168,81,1,15,3,1,70
330,82,182,82,1,7,9,2,75
331,82,214,68,2,10,3,4,82
