"STATISTIC","Statistic Label","TLIST(A1)","Year","C03429V04136","Type of Institution","C03427V04134","NFQ Level","C02076V03371","Age Group","UNIT","VALUE"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","-","All NFQ Levels","-","All ages","Number","4100"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","-","All NFQ Levels","310","15 - 24 years","Number","2090"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","-","All NFQ Levels","415","25 - 34 years","Number","950"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","-","All NFQ Levels","465","35 - 44 years","Number","590"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","-","All NFQ Levels","510","45 years and over","Number","470"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","-","All NFQ Levels","998","Age unknown","Number","0"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","05","NFQ Level 5","-","All ages","Number","2370"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","05","NFQ Level 5","310","15 - 24 years","Number","1120"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","05","NFQ Level 5","415","25 - 34 years","Number","550"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","05","NFQ Level 5","465","35 - 44 years","Number","390"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","05","NFQ Level 5","510","45 years and over","Number","320"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","05","NFQ Level 5","998","Age unknown","Number","0"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","06","NFQ Level 6","-","All ages","Number","760"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","06","NFQ Level 6","310","15 - 24 years","Number","410"
"ELA01C01","Number of Early Learning Care Graduates","2013","2013","-","All institute types","06","NFQ Level 6","415","25 - 34 years","Number","180"
