"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02028V02456","Principle Economic Status","UNIT","VALUE"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q1","2007Q1","1","At work","%","4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q1","2007Q1","2","Unemployed","%","2.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q1","2007Q1","3","Student","%","95.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q1","2007Q1","4","Engaged on home duties","%","1.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q1","2007Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q1","2007Q1","6","Unable to work due to permanent sickness/disability","%","1.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q1","2007Q1","7","Other","%","8.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q2","2007Q2","1","At work","%","4.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q2","2007Q2","2","Unemployed","%","3.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q2","2007Q2","3","Student","%","92.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q2","2007Q2","4","Engaged on home duties","%","1.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q2","2007Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q2","2007Q2","6","Unable to work due to permanent sickness/disability","%","2.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q2","2007Q2","7","Other","%","8.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q3","2007Q3","1","At work","%","3.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q3","2007Q3","2","Unemployed","%","2.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q3","2007Q3","3","Student","%","77.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q3","2007Q3","4","Engaged on home duties","%","0.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q3","2007Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q3","2007Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q3","2007Q3","7","Other","%","6.8"
